market,year,outcome,effect,lo95,hi95,pct_of_mean_price,per_GW_fleet,currency,fleet_MW,mean_price,gross_ratio,rho_governing,exception
CAISO,2024,daily_spread,-34.822,-43.2284,-28.8874,-106.566,-2.9823,USD,11676.3,32.68,1.1478,0.9758,gross ratio 1.1478 is 0.0022 short of the 1.15 threshold; admitted by documented exception
CAISO,2024,peak_shaving,-10.2247,-15.555,-6.1403,-31.291,-0.8757,USD,11676.3,32.68,1.1478,0.9758,gross ratio 1.1478 is 0.0022 short of the 1.15 threshold; admitted by documented exception
CAISO,2024,valley_filling,9.9264,6.8536,12.9456,30.378,0.8501,USD,11676.3,32.68,1.1478,0.9879,gross ratio 1.1478 is 0.0022 short of the 1.15 threshold; admitted by documented exception
CAISO,2024,volatility,-6.5582,-8.3665,-5.0841,-20.07,-0.5617,USD,11676.3,32.68,1.1478,0.9992,gross ratio 1.1478 is 0.0022 short of the 1.15 threshold; admitted by documented exception
CAISO,2024,mean,1.22,0.1785,2.0784,3.734,0.1045,USD,11676.3,32.68,1.1478,0.9992,gross ratio 1.1478 is 0.0022 short of the 1.15 threshold; admitted by documented exception
CAISO,2025,daily_spread,-19.4689,-24.5174,-16.5783,-60.476,-1.2409,USD,15688.9,32.19,1.1539,0.9515,
CAISO,2025,peak_shaving,-3.4736,-4.5293,-2.5745,-10.79,-0.2214,USD,15688.9,32.19,1.1539,0.9515,
CAISO,2025,valley_filling,9.0523,6.6071,12.5225,28.119,0.577,USD,15688.9,32.19,1.1539,1.0,
CAISO,2025,volatility,-5.0746,-6.4122,-4.1369,-15.763,-0.3235,USD,15688.9,32.19,1.1539,0.9991,
CAISO,2025,mean,2.2657,1.5482,3.1281,7.038,0.1444,USD,15688.9,32.19,1.1539,0.9991,
ERCOT,2022,daily_spread,-0.9422,-1.2981,-0.6523,-1.465,-0.4407,USD,2138.0,64.32,1.2294,0.9879,
ERCOT,2022,peak_shaving,-1.1314,-1.692,-0.7045,-1.759,-0.5292,USD,2138.0,64.32,1.2294,0.9879,
ERCOT,2022,valley_filling,0.0545,0.0422,0.0696,0.085,0.0255,USD,2138.0,64.32,1.2294,0.9879,
ERCOT,2022,volatility,-0.2582,-0.4203,-0.1614,-0.401,-0.1207,USD,2138.0,64.32,1.2294,0.9976,
ERCOT,2022,mean,-0.0899,-0.1508,-0.0407,-0.14,-0.0421,USD,2138.0,64.32,1.2294,0.9976,
ERCOT,2023,daily_spread,-7.9344,-12.4867,-3.839,-14.182,-1.8993,USD,4177.5,55.95,1.253,0.9879,
ERCOT,2023,peak_shaving,-7.7643,-11.9545,-4.1281,-13.877,-1.8586,USD,4177.5,55.95,1.253,0.9879,
ERCOT,2023,valley_filling,0.0645,0.0499,0.0747,0.115,0.0154,USD,4177.5,55.95,1.253,1.0,
ERCOT,2023,volatility,-2.7674,-4.5299,-1.3181,-4.946,-0.6625,USD,4177.5,55.95,1.253,0.9979,
ERCOT,2023,mean,-0.741,-1.1642,-0.3754,-1.324,-0.1774,USD,4177.5,55.95,1.253,0.9979,
ERCOT,2024,daily_spread,-6.0305,-10.5828,-3.126,-21.464,-0.7271,USD,8293.8,28.1,1.2274,0.8424,
ERCOT,2024,peak_shaving,-3.5181,-6.2231,-1.6408,-12.522,-0.4242,USD,8293.8,28.1,1.2274,0.8424,
ERCOT,2024,valley_filling,0.3351,0.2835,0.3877,1.193,0.0404,USD,8293.8,28.1,1.2274,0.9879,
ERCOT,2024,volatility,-0.7458,-1.4122,-0.3573,-2.655,-0.0899,USD,8293.8,28.1,1.2274,0.9921,
ERCOT,2024,mean,-0.2733,-0.6322,-0.0532,-0.973,-0.033,USD,8293.8,28.1,1.2274,0.9921,
ERCOT,2025,daily_spread,-13.5824,-17.7886,-10.4039,-40.548,-0.9765,USD,13909.3,33.5,1.2188,0.9636,
ERCOT,2025,peak_shaving,-7.6937,-10.471,-5.477,-22.968,-0.5531,USD,13909.3,33.5,1.2188,0.9636,
ERCOT,2025,valley_filling,1.9311,1.6212,2.2778,5.765,0.1388,USD,13909.3,33.5,1.2188,1.0,
ERCOT,2025,volatility,-2.6071,-3.5664,-1.9852,-7.783,-0.1874,USD,13909.3,33.5,1.2188,0.9959,
ERCOT,2025,mean,-0.4835,-0.8223,-0.237,-1.443,-0.0348,USD,13909.3,33.5,1.2188,0.9959,
Great Britain,2020,daily_spread,-0.0147,-0.027,-0.0085,-0.037,-0.0537,EUR,273.8,39.59,1.298,0.9879,
Great Britain,2020,peak_shaving,-0.0001,-0.003,0.0028,-0.0,-0.0005,EUR,273.8,39.59,1.298,0.9879,
Great Britain,2020,valley_filling,0.0055,0.0008,0.0105,0.014,0.0201,EUR,273.8,39.59,1.298,0.9879,
Great Britain,2020,volatility,-0.0015,-0.0033,-0.0003,-0.004,-0.0055,EUR,273.8,39.59,1.298,0.9981,
Great Britain,2020,mean,0.0033,0.0022,0.0042,0.008,0.0119,EUR,273.8,39.59,1.298,0.9981,
Great Britain,2021,daily_spread,-0.4831,-0.8099,-0.2574,-0.351,-1.5804,EUR,305.7,137.64,1.3167,0.8061,
Great Britain,2021,peak_shaving,-0.2109,-0.3861,-0.1136,-0.153,-0.6899,EUR,305.7,137.64,1.3167,0.8061,
Great Britain,2021,valley_filling,0.0204,0.0075,0.0428,0.015,0.0666,EUR,305.7,137.64,1.3167,0.9152,
Great Britain,2021,volatility,-0.1191,-0.2316,-0.048,-0.087,-0.3897,EUR,305.7,137.64,1.3167,0.951,
Great Britain,2021,mean,-0.0048,-0.0225,0.0082,-0.004,-0.0158,EUR,305.7,137.64,1.3167,0.951,
Great Britain,2022,daily_spread,-1.4782,-2.0689,-1.0687,-0.615,-1.6328,EUR,905.3,240.53,1.2818,0.5636,rho_top_q 0.5636 is 0.0364 short of the 0.60 identification threshold; admitted by documented exception
Great Britain,2022,peak_shaving,-0.2106,-0.4684,-0.0033,-0.088,-0.2326,EUR,905.3,240.53,1.2818,0.5636,rho_top_q 0.5636 is 0.0364 short of the 0.60 identification threshold; admitted by documented exception
Great Britain,2022,valley_filling,0.3028,0.1435,0.5162,0.126,0.3345,EUR,905.3,240.53,1.2818,0.9758,rho_top_q 0.5636 is 0.0364 short of the 0.60 identification threshold; admitted by documented exception
Great Britain,2022,volatility,-0.1662,-0.3053,-0.0834,-0.069,-0.1836,EUR,905.3,240.53,1.2818,0.9411,rho_top_q 0.5636 is 0.0364 short of the 0.60 identification threshold; admitted by documented exception
Great Britain,2022,mean,0.053,0.0103,0.1075,0.022,0.0586,EUR,905.3,240.53,1.2818,0.9411,rho_top_q 0.5636 is 0.0364 short of the 0.60 identification threshold; admitted by documented exception
Great Britain,2023,daily_spread,-2.5384,-3.2852,-2.0649,-2.35,-1.1359,EUR,2234.6,108.0,1.2165,0.9758,
