market,year,outcome,gate_failed,value,detail
CAISO,2021,daily_spread,physical,1.0955,gross ratio 1.0955 below the 1.15-1.45 band by 0.0545
CAISO,2021,mean,physical,1.0955,gross ratio 1.0955 below the 1.15-1.45 band by 0.0545
CAISO,2021,peak_shaving,physical,1.0955,gross ratio 1.0955 below the 1.15-1.45 band by 0.0545
CAISO,2021,valley_filling,physical,1.0955,gross ratio 1.0955 below the 1.15-1.45 band by 0.0545
CAISO,2021,volatility,physical,1.0955,gross ratio 1.0955 below the 1.15-1.45 band by 0.0545
CAISO,2022,daily_spread,physical,0.6348,gross ratio 0.6348 below the 1.15-1.45 band by 0.5152
CAISO,2022,mean,physical,0.6348,gross ratio 0.6348 below the 1.15-1.45 band by 0.5152
CAISO,2022,peak_shaving,physical,0.6348,gross ratio 0.6348 below the 1.15-1.45 band by 0.5152
CAISO,2022,valley_filling,physical,0.6348,gross ratio 0.6348 below the 1.15-1.45 band by 0.5152
CAISO,2022,volatility,physical,0.6348,gross ratio 0.6348 below the 1.15-1.45 band by 0.5152
CAISO,2023,daily_spread,physical,1.0243,gross ratio 1.0243 below the 1.15-1.45 band by 0.1257
CAISO,2023,mean,physical,1.0243,gross ratio 1.0243 below the 1.15-1.45 band by 0.1257
CAISO,2023,peak_shaving,physical,1.0243,gross ratio 1.0243 below the 1.15-1.45 band by 0.1257
CAISO,2023,valley_filling,physical,1.0243,gross ratio 1.0243 below the 1.15-1.45 band by 0.1257
CAISO,2023,volatility,physical,1.0243,gross ratio 1.0243 below the 1.15-1.45 band by 0.1257
ERCOT,2020,daily_spread,physical,1.0491,gross ratio 1.0491 below the 1.15-1.45 band by 0.1009
ERCOT,2020,mean,physical,1.0491,gross ratio 1.0491 below the 1.15-1.45 band by 0.1009
ERCOT,2020,peak_shaving,physical,1.0491,gross ratio 1.0491 below the 1.15-1.45 band by 0.1009
ERCOT,2020,valley_filling,physical,1.0491,gross ratio 1.0491 below the 1.15-1.45 band by 0.1009
ERCOT,2020,volatility,physical,1.0491,gross ratio 1.0491 below the 1.15-1.45 band by 0.1009
ERCOT,2021,daily_spread,excluded,,"Winter Storm Uri: February carries 78.1% of the year's price mass at a monthly mean of 1,483 USD/MWh against 20 to 51 in every other month; administrative scarcity pricing, not a merit order"
ERCOT,2021,mean,excluded,,"Winter Storm Uri: February carries 78.1% of the year's price mass at a monthly mean of 1,483 USD/MWh against 20 to 51 in every other month; administrative scarcity pricing, not a merit order"
ERCOT,2021,peak_shaving,excluded,,"Winter Storm Uri: February carries 78.1% of the year's price mass at a monthly mean of 1,483 USD/MWh against 20 to 51 in every other month; administrative scarcity pricing, not a merit order"
ERCOT,2021,valley_filling,excluded,,"Winter Storm Uri: February carries 78.1% of the year's price mass at a monthly mean of 1,483 USD/MWh against 20 to 51 in every other month; administrative scarcity pricing, not a merit order"
ERCOT,2021,volatility,excluded,,"Winter Storm Uri: February carries 78.1% of the year's price mass at a monthly mean of 1,483 USD/MWh against 20 to 51 in every other month; administrative scarcity pricing, not a merit order"
NSW1,2020,daily_spread,physical,,no discharge recorded
NSW1,2020,mean,physical,,no discharge recorded
NSW1,2020,peak_shaving,physical,,no discharge recorded
NSW1,2020,valley_filling,physical,,no discharge recorded
NSW1,2020,volatility,physical,,no discharge recorded
NSW1,2021,daily_spread,physical,1.1833,throughput 0.8 GWh below the 10 GWh floor
NSW1,2021,mean,physical,1.1833,throughput 0.8 GWh below the 10 GWh floor
NSW1,2021,peak_shaving,physical,1.1833,throughput 0.8 GWh below the 10 GWh floor
NSW1,2021,valley_filling,physical,1.1833,throughput 0.8 GWh below the 10 GWh floor
NSW1,2021,volatility,physical,1.1833,throughput 0.8 GWh below the 10 GWh floor
QLD1,2020,daily_spread,physical,,no discharge recorded
QLD1,2020,mean,physical,,no discharge recorded
QLD1,2020,peak_shaving,physical,,no discharge recorded
QLD1,2020,valley_filling,physical,,no discharge recorded
QLD1,2020,volatility,physical,,no discharge recorded
QLD1,2021,daily_spread,physical,2.3615,throughput 0.2 GWh below the 10 GWh floor
QLD1,2021,mean,physical,2.3615,throughput 0.2 GWh below the 10 GWh floor
QLD1,2021,peak_shaving,physical,2.3615,throughput 0.2 GWh below the 10 GWh floor
QLD1,2021,valley_filling,physical,2.3615,throughput 0.2 GWh below the 10 GWh floor
QLD1,2021,volatility,physical,2.3615,throughput 0.2 GWh below the 10 GWh floor
