market,year,outcome,effect,lo95,hi95,pct_of_mean_price,per_GW_fleet,currency,fleet_MW,mean_price,gross_ratio,rho_governing,exception
ERCOT,2022,daily_spread,-0.9422,-1.2981,-0.6523,-1.465,-0.4407,USD,2138.0,64.32,1.2294,0.9879,
ERCOT,2022,peak_shaving,-1.1314,-1.692,-0.7045,-1.759,-0.5292,USD,2138.0,64.32,1.2294,0.9879,
ERCOT,2022,valley_filling,0.0545,0.0422,0.0696,0.085,0.0255,USD,2138.0,64.32,1.2294,0.9879,
ERCOT,2022,volatility,-0.2582,-0.4203,-0.1614,-0.401,-0.1207,USD,2138.0,64.32,1.2294,0.9976,
ERCOT,2022,mean,-0.0899,-0.1508,-0.0407,-0.14,-0.0421,USD,2138.0,64.32,1.2294,0.9976,
ERCOT,2023,daily_spread,-7.9344,-12.4867,-3.839,-14.182,-1.8993,USD,4177.5,55.95,1.253,0.9879,
ERCOT,2023,peak_shaving,-7.7643,-11.9545,-4.1281,-13.877,-1.8586,USD,4177.5,55.95,1.253,0.9879,
ERCOT,2023,valley_filling,0.0645,0.0499,0.0747,0.115,0.0154,USD,4177.5,55.95,1.253,1.0,
ERCOT,2023,volatility,-2.7674,-4.5299,-1.3181,-4.946,-0.6625,USD,4177.5,55.95,1.253,0.9979,
ERCOT,2023,mean,-0.741,-1.1642,-0.3754,-1.324,-0.1774,USD,4177.5,55.95,1.253,0.9979,
ERCOT,2024,daily_spread,-6.0305,-10.5828,-3.126,-21.464,-0.7271,USD,8293.8,28.1,1.2274,0.8424,
ERCOT,2024,peak_shaving,-3.5181,-6.2231,-1.6408,-12.522,-0.4242,USD,8293.8,28.1,1.2274,0.8424,
ERCOT,2024,valley_filling,0.3351,0.2835,0.3877,1.193,0.0404,USD,8293.8,28.1,1.2274,0.9879,
ERCOT,2024,volatility,-0.7458,-1.4122,-0.3573,-2.655,-0.0899,USD,8293.8,28.1,1.2274,0.9921,
ERCOT,2024,mean,-0.2733,-0.6322,-0.0532,-0.973,-0.033,USD,8293.8,28.1,1.2274,0.9921,
ERCOT,2025,daily_spread,-13.5824,-17.7886,-10.4039,-40.548,-0.9765,USD,13909.3,33.5,1.2188,0.9636,
ERCOT,2025,peak_shaving,-7.6937,-10.471,-5.477,-22.968,-0.5531,USD,13909.3,33.5,1.2188,0.9636,
ERCOT,2025,valley_filling,1.9311,1.6212,2.2778,5.765,0.1388,USD,13909.3,33.5,1.2188,1.0,
ERCOT,2025,volatility,-2.6071,-3.5664,-1.9852,-7.783,-0.1874,USD,13909.3,33.5,1.2188,0.9959,
ERCOT,2025,mean,-0.4835,-0.8223,-0.237,-1.443,-0.0348,USD,13909.3,33.5,1.2188,0.9959,
