market,year,outcome,effect,lo95,hi95,pct_of_mean_price,per_GW_fleet,currency,fleet_MW,mean_price,gross_ratio,rho_governing,placebo_p,placebo_p_adjusted,n_draws,exception
Great Britain,2020,daily_spread,-0.004,-0.0087,-0.0018,-0.01,-0.0145,EUR,273.8,39.59,1.298,0.9758,0.002,1.0,999,
Great Britain,2020,mean,0.0006,0.0002,0.0009,0.001,0.0022,EUR,273.8,39.59,1.298,0.6465,0.863,1.0,999,
Great Britain,2020,peak_shaving,-0.0003,-0.0013,0.0006,-0.001,-0.0011,EUR,273.8,39.59,1.298,0.9758,0.998,1.0,999,
Great Britain,2020,valley_filling,0.0012,-0.0003,0.0034,0.003,0.0043,EUR,273.8,39.59,1.298,0.9879,0.515,1.0,999,
Great Britain,2020,volatility,-0.0006,-0.0012,-0.0002,-0.002,-0.0023,EUR,273.8,39.59,1.298,0.6465,0.001,1.0,999,
Great Britain,2021,valley_filling,0.007,0.0021,0.0156,0.005,0.0231,EUR,305.7,137.64,1.3167,0.8303,0.001,1.0,999,
Great Britain,2022,mean,0.0015,-0.0147,0.0182,0.001,0.0017,EUR,905.3,240.53,1.2818,0.9578,1.0,1.0,999,
Great Britain,2022,valley_filling,0.0481,0.0118,0.1594,0.02,0.0532,EUR,905.3,240.53,1.2818,0.903,0.001,0.994,999,
Great Britain,2022,volatility,-0.0559,-0.1096,-0.0245,-0.023,-0.0617,EUR,905.3,240.53,1.2818,0.9578,0.001,0.002,999,
Great Britain,2023,daily_spread,-0.8249,-1.0739,-0.674,-0.764,-0.3692,EUR,2234.6,108.0,1.2165,0.9879,0.001,0.001,999,
Great Britain,2023,mean,0.0638,0.0325,0.0965,0.059,0.0285,EUR,2234.6,108.0,1.2165,0.9914,0.001,0.001,999,
Great Britain,2023,peak_shaving,-0.1423,-0.1876,-0.0927,-0.132,-0.0637,EUR,2234.6,108.0,1.2165,0.9879,0.001,0.001,999,
Great Britain,2023,valley_filling,0.3885,0.1886,0.6104,0.36,0.1739,EUR,2234.6,108.0,1.2165,0.903,0.001,0.001,999,
Great Britain,2023,volatility,-0.138,-0.1858,-0.0893,-0.128,-0.0617,EUR,2234.6,108.0,1.2165,0.9914,0.001,0.001,999,
Great Britain,2024,daily_spread,-1.3809,-1.8166,-1.0702,-1.609,-0.5414,EUR,2550.5,85.81,1.1995,0.8788,0.001,0.001,999,
Great Britain,2024,mean,0.1676,0.103,0.2214,0.195,0.0657,EUR,2550.5,85.81,1.1995,0.8702,0.001,0.001,999,
Great Britain,2024,peak_shaving,-0.2221,-0.335,-0.1086,-0.259,-0.0871,EUR,2550.5,85.81,1.1995,0.8788,0.001,0.001,999,
Great Britain,2024,valley_filling,0.7283,0.3908,1.001,0.849,0.2855,EUR,2550.5,85.81,1.1995,0.9273,0.001,0.001,999,
Great Britain,2024,volatility,-0.2714,-0.3366,-0.187,-0.316,-0.1064,EUR,2550.5,85.81,1.1995,0.8702,0.001,0.001,999,
Great Britain,2025,daily_spread,-2.4461,-3.0592,-1.9359,-2.592,-0.6223,EUR,3931.0,94.36,1.1925,0.8545,0.001,0.001,999,
Great Britain,2025,mean,0.2424,0.1539,0.3228,0.257,0.0617,EUR,3931.0,94.36,1.1925,0.7433,0.001,0.001,999,
Great Britain,2025,peak_shaving,-0.5632,-0.8955,-0.2064,-0.597,-0.1433,EUR,3931.0,94.36,1.1925,0.8545,0.001,0.001,999,
Great Britain,2025,valley_filling,1.1869,0.7987,1.4915,1.258,0.3019,EUR,3931.0,94.36,1.1925,0.9879,0.001,0.001,999,
Great Britain,2025,volatility,-0.4703,-0.5537,-0.3703,-0.498,-0.1196,EUR,3931.0,94.36,1.1925,0.7433,0.001,0.001,999,
