market,year,outcome,effect,lo95,hi95,pct_of_mean_price,per_GW_fleet,currency,fleet_MW,mean_price,gross_ratio,rho_governing,exception
NSW1,2022,daily_spread,-1.4369,-1.9881,-1.2335,-0.786,-23.9482,AUD,60.0,182.71,1.2117,1.0,
NSW1,2022,peak_shaving,-0.4332,-0.8079,-0.252,-0.237,-7.2208,AUD,60.0,182.71,1.2117,1.0,
NSW1,2022,valley_filling,0.2633,0.2346,0.3483,0.144,4.3891,AUD,60.0,182.71,1.2117,1.0,
NSW1,2022,volatility,-0.1826,-0.3213,-0.1247,-0.1,-3.0441,AUD,60.0,182.71,1.2117,0.9962,
NSW1,2022,mean,-0.0197,-0.0573,0.017,-0.011,-0.3287,AUD,60.0,182.71,1.2117,0.9962,
NSW1,2023,daily_spread,-2.2918,-3.4361,-1.7537,-2.389,-5.4437,AUD,421.0,95.94,1.2503,0.9879,
NSW1,2023,peak_shaving,-0.966,-1.6608,-0.5794,-1.007,-2.2945,AUD,421.0,95.94,1.2503,0.9879,
NSW1,2023,valley_filling,0.7017,0.595,0.8216,0.731,1.6668,AUD,421.0,95.94,1.2503,0.9758,
NSW1,2023,volatility,-0.2391,-0.3619,-0.1694,-0.249,-0.5678,AUD,421.0,95.94,1.2503,0.9976,
NSW1,2023,mean,-0.0241,-0.1146,0.0235,-0.025,-0.0574,AUD,421.0,95.94,1.2503,0.9976,
NSW1,2024,daily_spread,-13.304,-24.0295,-8.1131,-10.154,-8.7711,AUD,1516.8,131.02,1.2617,0.7818,
NSW1,2024,peak_shaving,-5.2236,-10.4556,-2.1189,-3.987,-3.4438,AUD,1516.8,131.02,1.2617,0.7818,
NSW1,2024,valley_filling,1.1374,0.9882,1.2896,0.868,0.7499,AUD,1516.8,131.02,1.2617,1.0,
NSW1,2024,volatility,-0.7475,-2.0295,-0.3766,-0.571,-0.4928,AUD,1516.8,131.02,1.2617,0.9912,
NSW1,2024,mean,-0.4387,-1.081,0.0086,-0.335,-0.2892,AUD,1516.8,131.02,1.2617,0.9912,
NSW1,2025,daily_spread,-20.6738,-38.2583,-9.1775,-20.009,-5.8468,AUD,3535.9,103.32,1.4006,0.9273,
NSW1,2025,peak_shaving,-12.226,-24.1126,-2.4539,-11.833,-3.4577,AUD,3535.9,103.32,1.4006,0.9273,
NSW1,2025,valley_filling,1.1555,0.8311,1.5508,1.118,0.3268,AUD,3535.9,103.32,1.4006,0.9879,
NSW1,2025,volatility,-2.1938,-4.7549,-0.7841,-2.123,-0.6204,AUD,3535.9,103.32,1.4006,0.9904,
NSW1,2025,mean,-1.1952,-2.752,0.1029,-1.157,-0.338,AUD,3535.9,103.32,1.4006,0.9904,
