market,year,outcome,effect,lo95,hi95,pct_of_mean_price,per_GW_fleet,currency,fleet_MW,mean_price,gross_ratio,rho_governing,exception
QLD1,2022,daily_spread,-8.6038,-12.4842,-5.0058,-4.194,-67.7464,AUD,127.0,205.14,1.2711,0.9636,
QLD1,2022,peak_shaving,-2.591,-4.2092,-0.9999,-1.263,-20.4017,AUD,127.0,205.14,1.2711,0.9636,
QLD1,2022,valley_filling,0.9581,0.7696,1.188,0.467,7.5439,AUD,127.0,205.14,1.2711,1.0,
QLD1,2022,volatility,-0.708,-1.0981,-0.2629,-0.345,-5.5747,AUD,127.0,205.14,1.2711,0.9749,
QLD1,2022,mean,-0.4678,-0.8195,-0.148,-0.228,-3.6838,AUD,127.0,205.14,1.2711,0.9749,
QLD1,2023,daily_spread,-4.6445,-7.1834,-3.3868,-5.123,-14.16,AUD,328.0,90.67,1.1934,0.9879,
QLD1,2023,peak_shaving,-2.3026,-3.4188,-1.4286,-2.54,-7.02,AUD,328.0,90.67,1.1934,0.9879,
QLD1,2023,valley_filling,0.7,0.5874,0.838,0.772,2.1342,AUD,328.0,90.67,1.1934,1.0,
QLD1,2023,volatility,-0.5183,-0.847,-0.3912,-0.572,-1.5803,AUD,328.0,90.67,1.1934,0.9974,
QLD1,2023,mean,-0.2555,-0.4869,-0.1136,-0.282,-0.779,AUD,328.0,90.67,1.1934,0.9974,
QLD1,2024,daily_spread,-26.01,-41.0078,-16.6859,-23.331,-23.0279,AUD,1129.5,111.48,1.227,0.9394,
QLD1,2024,peak_shaving,-13.101,-19.9993,-7.9382,-11.752,-11.599,AUD,1129.5,111.48,1.227,0.9394,
QLD1,2024,valley_filling,1.7383,1.5074,2.0891,1.559,1.539,AUD,1129.5,111.48,1.227,1.0,
QLD1,2024,volatility,-2.9713,-5.737,-1.4637,-2.665,-2.6306,AUD,1129.5,111.48,1.227,0.997,
QLD1,2024,mean,-1.6394,-2.7352,-0.8889,-1.471,-1.4514,AUD,1129.5,111.48,1.227,0.997,
QLD1,2025,daily_spread,-62.1751,-128.2804,-15.9283,-73.243,-23.885,AUD,2603.1,84.89,1.2051,0.9152,
QLD1,2025,peak_shaving,-26.7108,-51.8036,-6.2254,-31.465,-10.2611,AUD,2603.1,84.89,1.2051,0.9152,
QLD1,2025,valley_filling,1.9589,1.4088,2.8351,2.308,0.7525,AUD,2603.1,84.89,1.2051,0.9879,
QLD1,2025,volatility,-4.7435,-10.6369,-1.842,-5.588,-1.8222,AUD,2603.1,84.89,1.2051,0.9981,
QLD1,2025,mean,-4.5797,-9.481,-0.557,-5.395,-1.7593,AUD,2603.1,84.89,1.2051,0.9981,
