market,year,outcome,effect,lo95,hi95,pct_of_mean_price,per_GW_fleet,currency,fleet_MW,mean_price,gross_ratio,rho_governing,exception
SA1,2020,daily_spread,-2.1916,-3.44,-1.5673,-5.039,-10.6906,AUD,205.0,43.49,1.2296,0.7212,
SA1,2020,peak_shaving,-0.4438,-1.1854,-0.0678,-1.02,-2.1649,AUD,205.0,43.49,1.2296,0.7212,
SA1,2020,valley_filling,0.9626,0.6395,1.1961,2.213,4.6954,AUD,205.0,43.49,1.2296,0.9879,
SA1,2020,volatility,-0.1666,-0.4658,0.351,-0.383,-0.8128,AUD,205.0,43.49,1.2296,0.9765,
SA1,2020,mean,0.1144,0.003,0.18,0.263,0.5578,AUD,205.0,43.49,1.2296,0.9765,
SA1,2021,daily_spread,-7.4035,-12.0835,-5.261,-14.601,-34.3072,AUD,215.8,50.71,1.2533,0.9394,
SA1,2021,peak_shaving,-3.2657,-5.3563,-1.5943,-6.44,-15.1329,AUD,215.8,50.71,1.2533,0.9394,
SA1,2021,valley_filling,1.4424,1.1233,1.8159,2.845,6.6838,AUD,215.8,50.71,1.2533,0.8424,
SA1,2021,volatility,-0.8376,-1.5811,-0.5433,-1.652,-3.8815,AUD,215.8,50.71,1.2533,0.9889,
SA1,2021,mean,-0.0221,-0.2591,0.1892,-0.044,-0.1023,AUD,215.8,50.71,1.2533,0.9889,
SA1,2022,daily_spread,-13.009,-17.6211,-10.5526,-8.345,-58.3625,AUD,222.9,155.89,1.2699,0.9273,
SA1,2022,peak_shaving,-3.0454,-5.7964,-1.1814,-1.954,-13.6627,AUD,222.9,155.89,1.2699,0.9273,
SA1,2022,valley_filling,1.3342,0.9511,1.9417,0.856,5.9858,AUD,222.9,155.89,1.2699,0.8545,
SA1,2022,volatility,-1.5216,-2.8292,-0.8963,-0.976,-6.8266,AUD,222.9,155.89,1.2699,0.9932,
SA1,2022,mean,-0.1853,-0.6284,0.1154,-0.119,-0.8315,AUD,222.9,155.89,1.2699,0.9932,
SA1,2023,daily_spread,-14.392,-21.0122,-10.0483,-17.974,-27.5235,AUD,522.9,80.07,1.3404,0.9636,
SA1,2023,peak_shaving,-6.0984,-10.1344,-2.5033,-7.616,-11.6626,AUD,522.9,80.07,1.3404,0.9636,
SA1,2023,valley_filling,2.0652,1.5825,2.598,2.579,3.9495,AUD,522.9,80.07,1.3404,0.8667,
SA1,2023,volatility,-1.8395,-3.1246,-1.0681,-2.297,-3.518,AUD,522.9,80.07,1.3404,0.9966,
SA1,2023,mean,-0.5013,-1.0734,0.0259,-0.626,-0.9587,AUD,522.9,80.07,1.3404,0.9966,
SA1,2024,daily_spread,-52.7989,-88.7569,-34.6565,-52.739,-65.6784,AUD,803.9,100.11,1.3413,0.9879,
SA1,2024,peak_shaving,-30.8103,-51.9765,-14.7788,-30.776,-38.326,AUD,803.9,100.11,1.3413,0.9879,
SA1,2024,valley_filling,4.6179,3.7126,5.5851,4.613,5.7443,AUD,803.9,100.11,1.3413,0.9394,
SA1,2024,volatility,-9.1217,-17.4532,-3.6101,-9.111,-11.3469,AUD,803.9,100.11,1.3413,0.9972,
SA1,2024,mean,-3.5117,-6.5501,-1.2918,-3.508,-4.3683,AUD,803.9,100.11,1.3413,0.9972,
SA1,2025,daily_spread,-83.1669,-165.5698,-38.3026,-95.89,-59.7507,AUD,1391.9,86.73,1.2474,1.0,
SA1,2025,peak_shaving,-52.1174,-112.1016,-15.758,-60.09,-37.4434,AUD,1391.9,86.73,1.2474,1.0,
SA1,2025,valley_filling,4.8275,3.9202,5.6221,5.566,3.4683,AUD,1391.9,86.73,1.2474,0.7455,
SA1,2025,volatility,-11.9212,-27.8603,-3.8818,-13.745,-8.5647,AUD,1391.9,86.73,1.2474,0.9931,
SA1,2025,mean,-7.8885,-15.5828,-2.6749,-9.095,-5.6674,AUD,1391.9,86.73,1.2474,0.9931,
