market,year,outcome,effect,lo95,hi95,pct_of_mean_price,per_GW_fleet,currency,fleet_MW,mean_price,gross_ratio,rho_governing,exception
VIC1,2020,daily_spread,-0.9827,-2.2472,-0.3489,-1.894,-16.3782,AUD,60.0,51.89,1.2197,0.9758,
VIC1,2020,peak_shaving,-0.8129,-2.115,-0.1325,-1.567,-13.5487,AUD,60.0,51.89,1.2197,0.9758,
VIC1,2020,valley_filling,0.1421,0.1119,0.1711,0.274,2.3678,AUD,60.0,51.89,1.2197,0.9879,
VIC1,2020,volatility,-0.0994,-0.3189,-0.0448,-0.192,-1.6563,AUD,60.0,51.89,1.2197,0.9977,
VIC1,2020,mean,-0.0696,-0.2206,0.0164,-0.134,-1.1606,AUD,60.0,51.89,1.2197,0.9977,
VIC1,2021,daily_spread,-1.1708,-1.5543,-0.9122,-2.607,-2.637,AUD,444.0,44.91,1.2691,0.9879,
VIC1,2021,peak_shaving,-0.5864,-0.9322,-0.3982,-1.306,-1.3208,AUD,444.0,44.91,1.2691,0.9879,
VIC1,2021,valley_filling,0.2776,0.2068,0.3636,0.618,0.6253,AUD,444.0,44.91,1.2691,0.9879,
VIC1,2021,volatility,-0.1462,-0.1883,-0.1272,-0.326,-0.3293,AUD,444.0,44.91,1.2691,0.9992,
VIC1,2021,mean,-0.0146,-0.0521,0.0152,-0.033,-0.0329,AUD,444.0,44.91,1.2691,0.9992,
VIC1,2022,daily_spread,-13.3773,-17.6344,-10.7371,-9.978,-30.1289,AUD,444.0,134.06,1.2096,0.9879,
VIC1,2022,peak_shaving,-3.9561,-5.819,-2.2918,-2.951,-8.9101,AUD,444.0,134.06,1.2096,0.9879,
VIC1,2022,valley_filling,2.075,1.5225,2.4976,1.548,4.6733,AUD,444.0,134.06,1.2096,0.9879,
VIC1,2022,volatility,-1.9337,-2.5927,-1.488,-1.442,-4.3551,AUD,444.0,134.06,1.2096,0.9981,
VIC1,2022,mean,-0.1939,-0.5286,0.081,-0.145,-0.4367,AUD,444.0,134.06,1.2096,0.9981,
VIC1,2023,daily_spread,-6.7903,-8.4094,-5.9425,-12.396,-10.4306,AUD,651.0,54.78,1.2208,1.0,
VIC1,2023,peak_shaving,-2.8473,-4.0943,-1.9707,-5.198,-4.3738,AUD,651.0,54.78,1.2208,1.0,
VIC1,2023,valley_filling,1.1406,0.9203,1.4317,2.082,1.7521,AUD,651.0,54.78,1.2208,0.6727,
VIC1,2023,volatility,-1.1568,-1.4302,-0.9955,-2.112,-1.777,AUD,651.0,54.78,1.2208,0.9946,
VIC1,2023,mean,-0.1167,-0.2713,0.0026,-0.213,-0.1792,AUD,651.0,54.78,1.2208,0.9946,
VIC1,2024,daily_spread,-20.9495,-42.3377,-11.2158,-25.508,-22.9961,AUD,911.0,82.13,1.2472,0.9758,
VIC1,2024,peak_shaving,-9.5819,-21.0081,-2.8488,-11.667,-10.518,AUD,911.0,82.13,1.2472,0.9758,
VIC1,2024,valley_filling,1.6503,1.2115,1.8628,2.009,1.8115,AUD,911.0,82.13,1.2472,0.8788,
VIC1,2024,volatility,-1.7003,-5.5256,-0.718,-2.07,-1.8664,AUD,911.0,82.13,1.2472,0.9974,
VIC1,2024,mean,-0.8439,-2.2462,-0.0657,-1.028,-0.9264,AUD,911.0,82.13,1.2472,0.9974,
VIC1,2025,daily_spread,-59.8061,-104.306,-23.9764,-76.787,-31.7274,AUD,1885.0,77.89,1.2108,1.0,
VIC1,2025,peak_shaving,-43.0481,-79.6727,-11.4022,-55.271,-22.8372,AUD,1885.0,77.89,1.2108,1.0,
VIC1,2025,valley_filling,2.4247,1.7977,3.0377,3.113,1.2863,AUD,1885.0,77.89,1.2108,0.8061,
VIC1,2025,volatility,-7.3816,-15.1861,-4.1178,-9.477,-3.916,AUD,1885.0,77.89,1.2108,0.997,
VIC1,2025,mean,-4.5576,-8.8634,-0.9281,-5.852,-2.4178,AUD,1885.0,77.89,1.2108,0.997,
